County,1980,1990,2000,2010
Adams,82,81,80,84
Allen,9,9,9,9
Ashland,61,64,70,73
Ashtabula,28,28,27,29
Athens,22,22,29,32
Auglaize,85,78,82,77
Belmont,47,59,40,43
Brown,66,71,78,79
Butler,20,23,18,10
Carroll,75,77,81,82
Champaign,33,40,52,51
Clark,10,11,12,13
Clermont,71,50,61,56
Clinton,43,50,53,49
Columbiana,63,65,49,54
Coshocton,58,66,66,75
Crawford,67,72,73,71
Cuyahoga,1,1,1,1
Darke,77,74,77,69
Defiance,17,16,15,16
Delaware,41,41,32,19
Erie,11,10,10,11
Fairfield,78,61,41,21
Fayette,32,43,48,47
Franklin,5,5,3,3
Fulton,27,26,25,24
Gallia,26,39,46,48
Geauga,60,60,65,63
Greene,12,12,13,12
Guernsey,59,58,58,64
Hamilton,2,2,2,2
Hancock,40,37,31,27
Hardin,62,68,68,66
Harrison,39,49,59,65
Henry,24,25,26,30
Highland,45,55,60,68
Hocking,73,70,76,78
Holmes,84,84,86,86
Huron,51,44,36,35
Jackson,72,75,75,76
Jefferson,18,21,24,33
Knox,76,69,71,67
Lake,52,46,39,28
Lawrence,42,48,57,59
Licking,50,53,50,38
Logan,48,47,56,58
Lorain,7,7,7,8
Lucas,4,4,4,4
Madison,21,14,19,22
Mahoning,6,6,6,6
Marion,29,24,21,23
Medina,65,67,62,55
Meigs,64,76,79,81
Mercer,74,80,74,72
Miami,44,45,51,45
Monroe,88,86,88,88
Montgomery,3,3,5,5
Morgan,25,30,43,52
Morrow,81,83,84,80
Muskingum,23,29,34,42
Noble,86,88,23,60
Ottawa,36,32,38,41
Paulding,38,34,42,39
Perry,83,85,87,87
Pickaway,56,20,20,44
Pike,54,62,64,74
Portage,35,36,35,34
Preble,80,82,85,83
Putnam,37,35,37,37
Richland,13,13,11,15
Ross,19,19,22,26
Sandusky,15,15,14,14
Scioto,34,38,45,46
Seneca,30,27,30,31
Shelby,68,52,54,50
Stark,14,18,17,18
Summit,8,8,8,7
Trumbull,16,17,16,17
Tuscarawas,69,73,72,61
Union,46,31,44,36
Van Wert,70,57,63,57
Vinton,87,87,83,85
Warren,53,42,33,20
Washington,57,63,69,70
Wayne,55,56,55,53
Williams,49,54,47,40
Wood,31,33,28,25
Wyandot,79,79,67,62
